genes	logFC	AveExpr	t	P.Value	adj.P.Val
Igfbp4	5.71489070431515	6.62044417582525	100.836380040086	6.79184373670303e-21	3.54488964097654e-17
Ezr	2.9892028670044	9.086371110738	83.0769683337953	8.46342994127251e-20	2.4452388130711e-16
Myrf	8.99413042910547	5.20754208421887	74.2816127247724	4.39445961978298e-19	8.60105609082023e-16
Tmem151a	4.20906576652354	5.90448176346132	70.9420515497487	7.05484379437962e-19	1.22738604591551e-15
Cxcl12	6.14791717849945	4.92508403140167	70.1585270974269	8.61505572160065e-19	1.34894542488823e-15
Ptx3	3.94881759403305	5.38614390137814	67.9233248598376	1.25164254074821e-18	1.55452821862279e-15
Akap12	3.37926129084057	6.35076401506533	67.3100506956907	1.39924266996259e-18	1.56495298044816e-15
Krt19	5.44667665098186	5.80432813422772	64.7840926630493	2.43611023408763e-18	2.54297426968961e-15
Lbh	2.71933774048377	6.74921541481146	64.1778183014512	2.62013329201515e-18	2.56412794289833e-15
Gata6	3.89912581833818	4.90323588616759	62.6237039730761	3.6838805341038e-18	3.03590533699986e-15
Cyp1b1	7.73549341708449	4.90881200591584	62.8350198097154	3.92160409261094e-18	3.07022384410511e-15
Ppl	6.35110749461493	4.61461603714768	60.7724776155907	5.85548846544377e-18	4.3659637329485e-15
Jag1	3.6207013794974	4.71360562494634	60.1467374588688	6.2698191785594e-18	4.46240130444923e-15
Epb41l4a	5.05394806149933	4.23072605675323	59.792054548312	6.99882611087772e-18	4.61479818876163e-15
Ccnd2	4.40553636346408	6.52866336518534	59.6718743696429	7.07339101611183e-18	4.61479818876163e-15
Smpd3	10.1347530560274	4.64172146659423	57.5428929793389	1.35427174749882e-17	7.83008262669897e-15
Tmem98	3.73081441192603	5.65410296511187	56.6260388988743	1.40019359782585e-17	7.83008262669897e-15
Afap1l2	5.05620172969304	3.69654650921194	53.0883366972452	3.39832317293852e-17	1.35689126299622e-14
Shroom3	4.53752045606677	3.8975227778902	52.7868866991341	3.61734248100124e-17	1.35689126299622e-14
Dcn	5.71067182169573	3.66694570041813	52.8884785882937	3.639636802008e-17	1.35689126299622e-14
Acta2	3.11400663856525	7.87567166116261	51.7411810697914	4.60163806349761e-17	1.6011655288499e-14
Pawr	3.90823017953713	4.05867656977129	50.1569994144568	7.0347015536567e-17	2.24794605973789e-14
Ppp2r5b	2.3205278607051	6.5370694484929	48.8792729124509	9.74126701987788e-17	2.99075998033819e-14
B4galt4	6.07287813755607	3.04284496259012	48.6735838972133	1.10814079220779e-16	3.25338690952257e-14
Timp3	3.59780054329794	7.63127558635523	48.2933779942631	1.1565507496534e-16	3.25338690952257e-14
Myo1d	2.76390476518696	6.00698380229677	48.2371865297587	1.16355643717757e-16	3.25338690952257e-14
Upk3b	11.8026571811842	3.96547135522387	48.7668233496536	1.27211357095457e-16	3.43426798172528e-14
Rnf128	7.61996949720207	3.83840349528211	47.9435159373776	1.42071576758075e-16	3.77043516758971e-14
Cdh3	8.6507279697033	3.95307939598073	47.3197638210538	1.74402519164405e-16	4.40260288596169e-14
Adamts1	3.22591068784985	6.47809668370099	46.2913616079471	2.01775410278564e-16	4.78696874869962e-14
Tns1	2.31901278256361	6.49977281967242	45.9555726873303	2.2077025877046e-16	5.00937028391116e-14
Gjb3	3.92139910876694	4.58752118031617	45.9030705681766	2.28040713284447e-16	5.00937028391116e-14
Uchl1	3.77783489324937	4.76101996027314	45.8652317828324	2.29950362933438e-16	5.00937028391116e-14
Maf	3.47918066503393	4.51393320969241	45.5439635430429	2.51217156489213e-16	5.31561923825419e-14
Slc9a3r1	2.51680615298268	7.77178600419201	45.0391131209156	2.88588710765543e-16	5.86847017294398e-14
Daam2	8.27097924983419	2.92930127221235	45.3940620961742	2.99192379569291e-16	6.00609522986662e-14
Sv2a	4.8575997145418	3.25203235943961	44.8658367319995	3.15361827399758e-16	6.1616497168057e-14
Tspan7	5.04701462757472	3.03255916085062	44.7648995094824	3.26549482376915e-16	6.23550218909481e-14
Foxo6	3.80972873508516	4.36497412353848	44.5795202899588	3.35425428593761e-16	6.32782091677243e-14
Optn	3.2808112944244	4.37188238940449	43.6542034474	4.39409748743964e-16	7.79658760904308e-14
Zcchc3	3.21200707501296	4.25697477878248	43.5203028276645	4.57289952011068e-16	7.95582896509923e-14
Irgm1	2.60898128056358	4.70865901065414	43.3331844446454	4.81670572264754e-16	8.28790969288079e-14
Fam84b	3.55151640822696	4.38493803198344	43.3073752324406	4.90225654233812e-16	8.34342749347068e-14
Shroom2	3.89816574367199	4.49738712865743	41.7812100842675	7.9315624560762e-16	1.20575150424506e-13
Stbd1	3.91294295102158	3.77560569177489	41.5088067240972	8.65172304558222e-16	1.29017789950216e-13
Mtss1	2.24679316548565	5.63701874366101	40.830923376275	1.05742430184045e-15	1.47311321144039e-13
Mpp2	3.31792194250788	5.12991743443726	40.7327356807197	1.10040300932443e-15	1.49827046260886e-13
Adamts5	3.40808824246234	6.42611812419687	40.6249146215492	1.1410669454856e-15	1.52707916516355e-13
Sulf1	6.65117956774467	3.30878669289564	40.5609079418112	1.26494335235578e-15	1.66441033707452e-13
Efnb1	2.58887463174281	5.47819436435399	40.2399026535864	1.28434435230521e-15	1.67585532236625e-13
Cobl	4.63695726624653	2.7734762490584	40.309130955872	1.29602147013134e-15	1.6771160478774e-13
Vldlr	5.26624943693517	3.59342084843944	40.1968644512851	1.36730420911183e-15	1.75485650051418e-13
Pfkfb3	3.72832304639135	3.98580548155762	40.0422127589976	1.38838491915816e-15	1.75870718318717e-13
Gata4	4.02440084652269	3.64622638901428	39.8797762255005	1.4731405637278e-15	1.84531479574799e-13
Scrn1	3.21325935962511	3.35390728104118	39.3554155356207	1.73273682158584e-15	2.13631442144811e-13
Smad6	3.46711742747946	3.81134293367498	39.2943700533496	1.77456056535604e-15	2.15395886297247e-13
Dusp6	2.36151797017458	6.0367337388591	38.9726382769618	1.95950563710388e-15	2.34213276837958e-13
Fbln5	3.59700408619079	4.43069537823618	38.7146154653178	2.16446222228809e-15	2.54820672756293e-13
Epha4	4.40936774264086	2.86906105030074	38.7363419505053	2.18280510430371e-15	2.55062405396922e-13
Inhbb	2.21786783179544	6.04410237693086	38.5388449505991	2.27123050518595e-15	2.63429090742234e-13
Smarca2	5.95280118418689	3.26632469982033	38.2022400831528	2.73582798789924e-15	2.9482264404279e-13
Ildr2	3.79058521916742	5.0346611771929	37.9321397215536	2.84476553153278e-15	3.0192214591368e-13
Unc5b	2.13212385632553	7.88017703046034	37.8731792225702	2.85925389378323e-15	3.0192214591368e-13
Cpne8	5.45722545157188	3.09326611118339	38.0189832744802	2.87306167717067e-15	3.0192214591368e-13
Krt14	10.9777085215731	3.49160720976304	38.1906247516484	3.18246510881359e-15	3.27835780748705e-13
Fhdc1	1.94619033496868	5.89052445924794	37.3666588342099	3.41537823293543e-15	3.47259690722747e-13
Eya4	3.61936054632719	4.66731885299587	37.3509441279909	3.47911204656528e-15	3.51457654355608e-13
Ccdc80	2.23071075341508	6.38587397985791	37.2815478262286	3.5218080762489e-15	3.53490197807085e-13
Grb10	2.42435900472909	7.3087807547762	37.2081423446496	3.61714027017833e-15	3.60746384397786e-13
Fam129a	6.4399797157669	2.94042563434415	37.4197441606995	3.65137840197505e-15	3.61856221633704e-13
Cdc42bpg	2.87233178428275	4.19459050500091	37.1368997389296	3.72004545769505e-15	3.66342589789868e-13
Arnt2	4.81503093597336	2.91637405088672	37.1652423762655	3.81186857055039e-15	3.73038987985488e-13
Antxr1	4.64803925768011	4.10077671651606	37.1235939413284	3.85252531797514e-15	3.74676033719595e-13
Flrt3	4.59864312570516	4.25528143006913	37.0963650731407	3.88536553050424e-15	3.75537367139724e-13
Adgrg2	7.37341712043511	2.76061030050144	37.2855215652439	3.94230339299825e-15	3.78702984831697e-13
Ror1	5.59303648605518	2.19420638842937	37.0652037474216	4.03621750853092e-15	3.85360327735226e-13
Boc	3.34182181197203	3.69057797855912	36.8339391003647	4.16620114561214e-15	3.92978177939729e-13
Cacna2d1	3.88986207781233	3.46152099434218	36.6871679604158	4.43042758668901e-15	4.15399012888483e-13
Marcks	1.75739658533002	7.51926436932275	36.0192641978638	5.54831362753758e-15	5.05090085930137e-13
Rab3b	5.58195242373014	3.00722342209215	36.1572962809471	5.60015872832518e-15	5.0572886878977e-13
Cxadr	3.23445305218244	6.90298659292501	35.8224537171446	6.01112643512733e-15	5.37366609747314e-13
Arhgdib	1.88784457225965	6.12987891958909	35.788712907574	6.04014071500365e-15	5.37366609747314e-13
Zfp518b	2.61352811144557	5.78885713678505	35.7307432066866	6.18439308766001e-15	5.47091677777291e-13
Celsr1	6.22346468988191	2.76725303866007	35.7831663731578	6.55065187367784e-15	5.76236556393526e-13
Zbtb7c	2.73506477279567	3.80350939232416	35.4304456687256	6.91903013239889e-15	5.98553446481226e-13
Baiap2l1	7.87659389595217	2.12079168232107	35.6268475243867	7.30734557603159e-15	6.18477929889203e-13
Tgfb2	3.2755246315885	4.41831936584729	35.2521573563927	7.43421205315569e-15	6.22486055231614e-13
Fam43a	5.53324102604416	2.14575876866352	35.1252898855817	8.19846885901938e-15	6.72102750756678e-13
Mgat3	2.79632287122993	4.67231002925786	34.8205252123558	8.70609000915255e-15	7.06321022607827e-13
St6gal1	4.14650901856145	3.12088913832382	34.6490938770362	9.47468249505677e-15	7.60792710295379e-13
Sema3c	2.66361554509232	7.41149190689968	34.5794723436348	9.53368554691362e-15	7.61624736191701e-13
Pdzrn3	3.10961044689461	3.71999334502852	34.3318030225995	1.0521944240791e-14	8.27902527247763e-13
P2rx7	4.78663032389047	2.75611298180635	34.0769462226021	1.19823923779951e-14	9.2423793031846e-13
Atp1b1	3.18261534555626	4.48605415094057	33.9406180117759	1.22499003362189e-14	9.37049689793521e-13
Aldh1a1	12.0565029396868	2.93995417886652	34.5399271649661	1.23280263186528e-14	9.37049689793521e-13
Cyp2s1	7.61408004009265	2.77989791704738	34.049959961431	1.31795057154444e-14	9.92137983136676e-13
Rnd3	1.75447328067307	6.51177279674139	33.3587864098515	1.52792420884104e-14	1.13385010720536e-12
Krt18	2.93206118805574	4.4670011711416	33.3517686543462	1.53926310477646e-14	1.13687649502782e-12
Crb2	12.5939796338872	-0.140501164143253	33.8431534745738	1.63319079008121e-14	1.18391210143942e-12
Gfpt2	6.3825084317493	1.55235914495752	33.3525247937264	1.66650772342744e-14	1.20249667895977e-12
Mid1	3.19555789685614	3.48980398628501	33.0073212607963	1.76991426166792e-14	1.26544828809116e-12
Gpr39	2.35573193892379	4.51812072683715	32.6901838783886	1.99776266348638e-14	1.39647177611025e-12
Sema3e	3.9035060381655	5.15451737098426	32.6558392187156	2.06050707624565e-14	1.42758494689621e-12
Zic1	11.7629389488932	-0.491101867272944	33.1422632278002	2.11209201912947e-14	1.45048845769865e-12
Nfia	3.99932798976387	2.2141677830813	32.5590537083516	2.1467146386653e-14	1.46782785206206e-12
Fndc3c1	10.9766930741172	-0.935430020263537	33.0036355789289	2.18960212430338e-14	1.48513116847062e-12
Lrp2	8.79836213844935	2.93907846657373	32.8528272578978	2.19099054743079e-14	1.48513116847062e-12
Enah	2.27655221376976	5.83592142955866	32.2506215847597	2.38746146951524e-14	1.60441509397724e-12
Edn2	5.84654890438083	2.30502702381831	32.3203501110933	2.48170458068236e-14	1.66062095403095e-12
Tcaf2	3.37495734639591	2.8420051047229	32.1271004177033	2.53339336472254e-14	1.68799460871598e-12
Sh3tc2	5.21600706156225	2.73471640256813	32.183180345141	2.57701100487219e-14	1.70978128450376e-12
Nod1	2.06691422676972	5.65456235196342	31.8568980712539	2.80559012953723e-14	1.82795903737191e-12
Gulp1	2.63685097705752	4.71277150236465	31.8501393379764	2.81936292134603e-14	1.82795903737191e-12
Akr1c14	6.4058830267655	1.54655923902561	32.0451401303687	2.82596358222348e-14	1.82795903737191e-12
Pkhd1l1	12.4128771719289	3.62519736821343	32.0083857123112	3.39343895522029e-14	2.15119300246313e-12
Cemip	6.51109519579292	2.19731666363179	31.5046287941078	3.5478337554655e-14	2.21322633239357e-12
Stx3	1.92949221582147	5.23490948677688	31.2375299408138	3.63302239327912e-14	2.25737558071288e-12
Fgfr3	4.44706304537107	2.42159578630452	31.2408035058418	3.73718563716758e-14	2.30381309869173e-12
Hs3st1	3.41182218577826	3.01162725783767	30.9503086253295	4.1441487253888e-14	2.524866954947e-12
Nfe2l3	4.25358800221032	2.54937766967759	30.9687453794986	4.17508340822713e-14	2.53385488395428e-12
Ralgps2	2.17652078049501	4.72285285778641	30.8819458975675	4.22599943390432e-14	2.55485324849706e-12
Ilvbl	2.13621931943694	5.28665519920634	30.7362447602419	4.49707852121905e-14	2.68760517119267e-12
2010111I01Rik	1.83075245814066	6.26586037922588	30.6171918585995	4.73075462341808e-14	2.80583923838941e-12
Wnt11	4.31124711217905	2.29732274449182	30.5069118824825	5.0949647763138e-14	2.9656861883837e-12
Plscr2	2.27921722755299	4.6711645429633	30.4072022048446	5.18349277693098e-14	2.99051605037451e-12
Igf2bp1	1.6815248079159	5.9659567936365	30.4000461390747	5.19491867225614e-14	2.99051605037451e-12
Kdm5b	1.95414466518572	4.78916225425167	30.2367539199069	5.57770221228459e-14	3.18743289196905e-12
Ehd3	8.61758558340744	0.903748243920833	30.3997383526504	6.06050121414101e-14	3.40126623695412e-12
Adamts20	9.88929995596974	-1.52337854588123	30.4621772687893	6.11821202488384e-14	3.42139156734397e-12
Card19	2.22906236247616	5.52958395711394	29.8543939668699	6.59791474550939e-14	3.67651776103865e-12
Cacna1g	4.1270304915044	2.63791674951253	29.7896285013212	6.9404770237489e-14	3.79978983349162e-12
Slc7a2	3.94091583143097	3.70620513380941	29.7215317503992	7.12583347321053e-14	3.88767597642964e-12
Sema4f	5.78174841856393	1.40093913427318	29.7915672119563	7.24365694390889e-14	3.93823543151824e-12
Sulf2	7.88106362792568	1.72480978944624	29.8682793621938	7.47519298752095e-14	4.05005438749491e-12
Sort1	4.01159362273341	3.43704552193077	29.5391750843624	7.73741828116332e-14	4.16331599472355e-12
Car12	4.64397617994364	1.98208666006878	29.395101315446	8.3699730860175e-14	4.45772240070959e-12
P3h2	3.79095657907753	2.39722683583805	29.3228242284405	8.48724394666046e-14	4.48963735529762e-12
Tnfrsf21	6.75623562122617	1.44164810604452	29.45844055869	8.65556467202146e-14	4.56326032439434e-12
Slc4a8	2.49005782193134	3.21014680738952	29.2358745152074	8.69757335024072e-14	4.5700202522842e-12
Kcnab1	2.06643381577431	4.76350037372328	29.1914055508269	8.86157290021927e-14	4.64061901242921e-12
Xist	11.2385357563168	2.60299206130536	29.614445505742	9.18944318851529e-14	4.78034224072333e-12
Mir99ahg	4.3497320028834	2.2649672237706	28.892170865881	1.04282520003629e-13	5.22015755233035e-12
Rasl11a	4.44396018138613	1.49926723087383	28.8870086712473	1.04756517973154e-13	5.22015755233035e-12
