genes	logFC	AveExpr	t	P.Value	adj.P.Val
Shank3	8.208295846675	-2.28457305652384	26.0544921095951	5.71742992878557e-13	1.59460766017406e-11
Nbl1	2.81463253540487	2.73420933250163	25.5777344798518	5.75695922698708e-13	1.59987754001593e-11
Gcnt1	1.76250853736243	6.86116051835394	25.5105722329683	5.80821613157664e-13	1.61123448215311e-11
Ptgis	10.7451050685017	2.25846617546693	26.1049668442528	5.99896827943017e-13	1.66117859123435e-11
Id3	2.36861888573535	6.44888889933495	25.4607798073189	6.02580180361321e-13	1.66563473384367e-11
Hoxd8	8.81732881651667	-2.04760713566493	25.9641048208992	6.1024663698246e-13	1.68382466186601e-11
Mal2	9.31632847829255	-1.63190005728692	25.9766214795673	6.15672567863872e-13	1.69577877617497e-11
Rab27b	2.21362480596527	3.91337738143541	25.27674570568	6.59745523863484e-13	1.81073873248691e-11
Scel	11.5111097201692	-0.0153843133343302	25.9468972305186	6.61027215916714e-13	1.81105106664673e-11
Fmod	6.40524583590844	0.853948366538238	25.5865107269312	6.75895447720637e-13	1.84852040702009e-11
Ap1s3	4.47644034223665	1.43031098987997	25.3647073716356	6.92023614325752e-13	1.88929756819532e-11
Fam131b	1.8435615242916	4.38274617851693	25.148889125763	7.00131546758077e-13	1.90807379535633e-11
Tpd52l1	5.35339944570107	1.24347322213881	25.4037648639396	7.07721221960787e-13	1.925374208587e-11
Dlc1	1.53036362859042	6.66026088307966	25.116797644346	7.09771362039842e-13	1.92756996692677e-11
Enpp4	1.94902081482066	4.9918648774313	25.1188660668715	7.12177014913072e-13	1.93072184794703e-11
Igsf9	1.87097274729459	4.56789575387806	25.0667102364041	7.30859352853206e-13	1.96761041400949e-11
Frmd4b	12.6661279195124	1.50906862797288	25.7760431409482	7.37954708810497e-13	1.98326926681532e-11
Evpl	5.50364796890421	1.34783393052347	25.3070525346337	7.49032835522319e-13	2.00955920076896e-11
Zfp521	2.30481295251358	3.06876213789402	24.9654147420506	7.76877602320727e-13	2.0770760308944e-11
Ddr1	1.37819033749201	7.55035149350165	24.9360321350788	7.79139059356253e-13	2.07953690076376e-11
Mat2b	1.31803323194398	5.97663125857048	24.9265561980439	7.82854873920192e-13	2.08586435221313e-11
Ces2g	6.54462519630663	1.02773631084151	25.2453725276131	8.09780923491664e-13	2.14577097050462e-11
Ndufs5	4.44670757255336	2.0160145080531	25.0549935222044	8.10873662678603e-13	2.14577097050462e-11
Cadm1	8.08370778766287	0.767289273641622	25.3257423493775	8.23940813409044e-13	2.17293370638334e-11
Galnt12	5.36024418896582	0.985414585282893	25.0093281353992	8.67946004508355e-13	2.27492437003472e-11
Tns4	6.70335964331272	0.891225583110826	25.1227706814235	8.68482122306412e-13	2.27492437003472e-11
Hand2	8.20741942210141	-2.28441675033479	25.20325190224	8.813670039392e-13	2.304782146726e-11
Pax3	10.6246741026807	-0.510046391596751	25.2895739915806	9.04427331337087e-13	2.35875951491004e-11
Gpc3	9.73384521102905	-1.53986925424015	25.2427773378065	9.05080745061989e-13	2.35875951491004e-11
Stxbp2	1.44970898413322	4.89477875031846	24.6477959354475	9.06571658532525e-13	2.35875951491004e-11
Htr7	8.01954693622423	-2.47900093685038	25.1269523681817	9.10957602706591e-13	2.36620092883938e-11
Bdh1	5.40024997932447	0.782466816285857	24.9096412269399	9.15986815387893e-13	2.37528554284616e-11
Vegfc	4.04738519830272	1.27018114284813	24.7742521064369	9.20763894870313e-13	2.38368709812253e-11
Ppp2r2b	9.5497749311594	-1.55428121283724	25.1751229898061	9.3243007305589e-13	2.40585576420594e-11
Flt4	8.62084290224222	1.61358779090733	25.0861529559142	9.49346679652388e-13	2.44137959558368e-11
Ptprd	12.1460470080441	0.186504440500557	25.2569182773117	9.51969388385136e-13	2.44407107710071e-11
Adgrb2	6.69557497956156	2.25145013166525	24.9168647022484	9.66386249801956e-13	2.47289629961698e-11
Srgap1	9.43875615409747	-1.5491420845302	25.0657274962709	9.83691852545094e-13	2.50668803157576e-11
Dmrt2	7.97445384740456	-2.42647054012619	24.9746528724178	9.84441227335808e-13	2.50668803157576e-11
Tox	8.09367075209094	-2.34291040892407	24.9672452776239	9.9235086739828e-13	2.52268604930248e-11
Ncald	7.76722124438448	-2.39086625828753	24.9387099480614	9.95722091222871e-13	2.52650404375696e-11
Syt9	7.92214181903202	-2.46102881881149	24.9465976912259	9.97116793574694e-13	2.52650404375696e-11
Kcnq5	9.33434927418151	-1.60962531182736	25.0306760026393	9.98740555118991e-13	2.52650404375696e-11
Zdbf2	10.5953010337072	-1.05333769558772	25.0790244321727	1.00771014087857e-12	2.54504253332312e-11
Map3k6	2.37528200958314	2.93418360609749	24.3822804882001	1.05831182701467e-12	2.66814943474651e-11
Mlh3	1.95959901584677	3.38844360226311	24.3627742918484	1.05989556445725e-12	2.66814943474651e-11
Klf4	1.26290614765497	6.22904613102532	24.3381104250855	1.0678552026922e-12	2.68382992352478e-11
Lrrc75b	6.15570839514556	0.699672190548599	24.6483576771862	1.08747014828493e-12	2.71990315958943e-11
Olfml2b	1.29677172237303	5.40620832587698	24.2767654764316	1.10353788286132e-12	2.75121574751293e-11
Miga1	2.54747415500812	2.79183401492314	24.2610329270532	1.13475102284375e-12	2.8244918316594e-11
Hoxb4	9.32772335283598	-1.55416894369338	24.7336083282666	1.16642396524932e-12	2.89867570979507e-11
Slc16a3	2.90190826676872	5.26454864779167	24.2004389252963	1.18662176627914e-12	2.9441509967505e-11
Tfcp2l1	6.1798026867359	0.756336013676268	24.4777546905134	1.1915583406118e-12	2.95167654758262e-11
Plxdc2	10.5833212004824	-0.967995076141563	24.7452838952046	1.19932326030328e-12	2.96617317344864e-11
Kif5c	4.3990168829655	1.44461152138992	24.2901868252452	1.21081485915737e-12	2.98982579951487e-11
Mn1	5.77475450574314	0.926763721371823	24.3682036287495	1.24049478258296e-12	3.04855033177718e-11
AI838599	8.72327061546826	-2.04416152774023	24.5019678084025	1.29425406621147e-12	3.16062957554979e-11
Nhsl1	1.7752111905044	5.53357197877315	23.9557455312985	1.31589504482467e-12	3.20842522957487e-11
Wnt5a	10.3746619496517	0.0614678771096833	24.5265302275206	1.33912240803176e-12	3.25482306917689e-11
Fkbp10	1.27412907636543	8.07740160036249	23.8918004644324	1.3581008259034e-12	3.28550226322683e-11
Epha7	10.5243271174284	-1.16297820334793	24.4745865984222	1.38180018813276e-12	3.33243787206451e-11
Il22ra1	10.7777277697229	-0.513457052837175	24.478583155093	1.38753218230318e-12	3.34106545822599e-11
Slco5a1	7.900454611301	-2.43437152055838	24.3115219539177	1.39355118525062e-12	3.34517000459465e-11
Mbp	7.21537215852	1.03909035783968	24.2309033035873	1.41866888385623e-12	3.38498650982475e-11
Chodl	8.12629841347041	-2.2750656729037	24.2925741826805	1.41886969200109e-12	3.38498650982475e-11
Gak	1.16167160084808	6.70279403663325	23.8018356734572	1.42601381778277e-12	3.39680434291204e-11
Ank2	1.6152263941332	5.10535465110417	23.7678905563255	1.45528763557621e-12	3.45063384784102e-11
Lgals2	5.1548859036635	1.64295202310177	23.9926068219578	1.4746280790963e-12	3.48659250466471e-11
Hoxc9	9.24520864367613	-1.47395838121777	24.2868530512881	1.47494981818537e-12	3.48659250466471e-11
Fbxl7	8.27979664223926	-2.22022747375717	24.2158808096303	1.48615409402482e-12	3.50773082740378e-11
Jph1	10.1665247349232	-1.17791006640025	24.3051932241919	1.4985849358485e-12	3.52099342427314e-11
Tmem108	11.7326013294084	0.0410838092476712	24.3721579290583	1.50095780230535e-12	3.52123337978049e-11
Htatip2	3.95243509960292	1.34019058848321	23.821909492796	1.52566968684637e-12	3.56841023136148e-11
Cd24a	9.91957573521327	1.64660961392891	24.2168158425996	1.56094888986679e-12	3.63994502784426e-11
Slc16a2	8.6263396115386	-2.06813213731712	24.1240746820883	1.57927645106389e-12	3.6716401689127e-11
Adamts3	9.02491124169629	-1.89258526904714	24.0932910779356	1.62586539939824e-12	3.76890885167257e-11
Ankrd1	1.40825196910344	8.47609493363201	23.5634881279802	1.6259753800019e-12	3.76890885167257e-11
Nck2	1.53096885284351	3.89036246408498	23.4551434591579	1.72723603997504e-12	3.99169139670535e-11
AC152162.1	8.66062837689755	-2.18941031606154	23.9533797176415	1.73388679783694e-12	3.99366074263799e-11
Dlx3	9.33109573010672	-0.430260720476515	23.9837128501253	1.74096716374707e-12	3.99958189751494e-11
Stxbp6	4.69082044124871	1.75987063303147	23.639740910683	1.74776744437045e-12	4.00334265285858e-11
Hoxb2	8.1140688786249	-2.28477919033755	23.8865798767757	1.76567418701385e-12	4.03244618822148e-11
Ndnf	7.97591806316871	-2.3816349530248	23.8111829527639	1.83092465145379e-12	4.15697636458184e-11
Plce1	9.84171139747828	-1.26093458603429	23.8864416745423	1.86213048256353e-12	4.22164581770654e-11
Bmp2	9.95015027093438	-0.533267962544054	23.8801992317088	1.87398699155417e-12	4.24232354423803e-11
Ninj1	1.80312563383969	4.61538549781013	23.0608681725794	2.15727990572839e-12	4.78017560334286e-11
Plcb4	9.71930021578885	-1.51862307050137	23.5820200463165	2.19235155015252e-12	4.84975684567976e-11
Edn1	1.94671467777332	4.19337935115402	23.000845183093	2.23590349638589e-12	4.91396273950945e-11
Etl4	10.3386541432812	-0.647320257640205	23.5753202712913	2.23722041277724e-12	4.91396273950945e-11
Hoxc13	5.79633963947242	1.10242348185073	23.2454634253744	2.29175559264621e-12	5.02662715348864e-11
Coro2b	5.35204128445837	0.768753758700703	23.176445938785	2.33324202827272e-12	5.10318535013047e-11
Serpinb9	1.37287804244778	5.21016779474713	22.8865212410221	2.37265234069696e-12	5.17502973224975e-11
Sh2d4a	9.05259464752331	-1.90218828484519	23.390245852637	2.39078563484608e-12	5.19215012161208e-11
Egfr	1.98929936296997	5.92807274053212	22.8815142327707	2.39352645257901e-12	5.19215012161208e-11
Adrb1	8.28493616080893	-2.29929400893655	23.3427696576158	2.39520109183317e-12	5.19215012161208e-11
Sox11	11.4224481780327	-0.0138682288912058	23.49722583844	2.39735570198894e-12	5.19215012161208e-11
Wrb	1.33280270637432	5.73354633442693	22.8561511729687	2.41352566489093e-12	5.21261037402e-11
Prr5	1.78560655008939	3.59791219617317	22.830516862788	2.45656379096999e-12	5.2981828520962e-11
Col4a6	9.75795659879209	2.32019990398818	23.3447156775664	2.50272342543133e-12	5.38276451569537e-11
Spats2l	9.46237979330169	-1.23381730210385	23.2952453029684	2.55122617372585e-12	5.47948258669901e-11
Tmtc2	9.80779574161677	-1.51346936203104	23.3066730091141	2.55979726533723e-12	5.49028716370462e-11
St8sia4	8.11219675900782	-2.27854357689459	23.0904393559375	2.74193880374105e-12	5.84055563593577e-11
Rbp1	3.97276202544771	0.96224485100047	22.6960704282578	2.86234003687747e-12	6.06529607640159e-11
Map3k9	3.66409928252546	1.74687510721616	22.649728542979	2.8960914483577e-12	6.11848638824017e-11
