	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
GO_RESPONSE_TO_SALT_STRESS	10	0.9	0.1	Down	9.99990000099999e-06	1.33332000013333e-05	9.99990000099999e-06	9.99990000099999e-06
GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY	12	0.25	0.666666666666667	Up	9.99990000099999e-06	1.33332000013333e-05	9.99990000099999e-06	9.99990000099999e-06
BIOCARTA_GABA_PATHWAY	5	0.6	0.4	Down	9.99990000099999e-06	1.33332000013333e-05	9.99990000099999e-06	9.99990000099999e-06
GO_INTRACELLULAR_CALCIUM_ACTIVATED_CHLORIDE_CHANNEL_ACTIVITY	6	0.666666666666667	0.166666666666667	Down	1.9999800002e-05	2.9999700003e-05	9.99990000099999e-06	9.99990000099999e-06
GO_CHLORIDE_CHANNEL_COMPLEX	20	0.3	0.6	Up	6.99993000069999e-05	0.0001039989600104	9.99990000099999e-06	9.99990000099999e-06
GO_VOLTAGE_GATED_CHLORIDE_CHANNEL_ACTIVITY	9	0.222222222222222	0.666666666666667	Up	0.003179968200318	0.00423329100042333	9.99990000099999e-06	9.99990000099999e-06
GO_CHLORIDE_TRANSPORT	46	0.391304347826087	0.456521739130435	Up	0.124148758512415	0.141878581214188	9.99990000099999e-06	9.99990000099999e-06
BIOCARTA_CFTR_PATHWAY	11	0.545454545454545	0.454545454545455	Down	0.5360046399536	0.5360046399536	9.99990000099999e-06	9.99990000099999e-06
