fsk.up	fsk.down
Rbbp8	NA
Nmb	NA
5133401N09Rik	NA
Ggt7	NA
Shc3	NA
Bambi	NA
Eif1	NA
Celf6	NA
Kctd1	NA
Pfn1	NA
Eif4a1	NA
Shc4	NA
Slc25a32	NA
Prkar1a	NA
Flnb	NA
Pitpna	NA
Pld3	NA
Lrrc8d	NA
Ptchd1	NA
Kcmf1	NA
A930017M01Rik	NA
Efemp2	NA
