	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
BIOCARTA_CFTR_PATHWAY	11	0.363636363636364	0.181818181818182	Down	0.002189978100219	0.017479825201748	0.000239997600024	0.001879981200188
GO_CHLORIDE_TRANSPORT	46	0.0652173913043478	0.391304347826087	Up	0.012439875601244	0.0383062836038306	0.00189998100019	0.0030319696803032
GO_CHLORIDE_CHANNEL_COMPLEX	20	0.1	0.45	Up	0.014369856301437	0.0383062836038306	0.000739992600073999	0.002939970600294
BIOCARTA_GABA_PATHWAY	5	0.4	0.2	Down	0.021379786202138	0.042749572504275	0.001559984400156	0.0030319696803032
GO_CHLORIDE_CHANNEL_REGULATOR_ACTIVITY	12	0.0833333333333333	0.416666666666667	Up	0.043019569804302	0.0688233117668823	0.0863391366086339	0.0863391366086339
GO_VOLTAGE_GATED_CHLORIDE_CHANNEL_ACTIVITY	9	0.111111111111111	0.333333333333333	Up	0.156748432515675	0.208991243420899	0.03139968600314	0.041859581404186
GO_INTRACELLULAR_CALCIUM_ACTIVATED_CHLORIDE_CHANNEL_ACTIVITY	6	0.166666666666667	0.333333333333333	Up	0.300056999430006	0.342916570834292	0.001119988800112	0.00297330360029733
GO_RESPONSE_TO_SALT_STRESS	10	0.2	0.2	Down	0.890261097389026	0.890261097389026	0.0593794062059379	0.0678564642924999
