	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
GO_RESPONSE_TO_CAMP	74	0.418918918918919	0.432432432432432	Down	9.99990000099999e-05	0.000759992400075999	9.99990000099999e-06	9.99990000099999e-06
GO_POSITIVE_REGULATION_OF_CAMP_METABOLIC_PROCESS	40	0.375	0.5	Up	0.0930090699093009	0.372016279837202	9.99990000099999e-06	9.99990000099999e-06
CAMP_UP.V1_UP	169	0.420118343195266	0.461538461538462	Up	0.250257497425026	0.667339993266734	9.99990000099999e-06	9.99990000099999e-06
CAMP_UP.V1_DN	165	0.472727272727273	0.436363636363636	Down	0.448515514844852	0.872064612687206	9.99990000099999e-06	9.99990000099999e-06
GO_CAMP_METABOLIC_PROCESS	23	0.391304347826087	0.521739130434783	Down	0.592394076059239	0.872064612687206	9.99990000099999e-06	9.99990000099999e-06
GO_CAMP_BIOSYNTHETIC_PROCESS	13	0.384615384615385	0.461538461538462	Up	0.654053459465405	0.872064612687206	9.99990000099999e-06	9.99990000099999e-06
GO_CELLULAR_RESPONSE_TO_CAMP	35	0.4	0.457142857142857	Up	0.942230577694223	0.968465315346847	9.99990000099999e-06	9.99990000099999e-06
GO_REGULATION_OF_CAMP_METABOLIC_PROCESS	56	0.410714285714286	0.5	Up	0.968470315296847	0.968470315296847	9.99990000099999e-06	9.99990000099999e-06
