genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Mri1	-0.246582198182208	4.80873020361406	-4.31666742456866	0.000559735154215313	0.000973946705163471	-2.137640094953
Ppp6r1	-0.170266897134939	7.23773657562859	-4.44278130157487	0.000432184395096009	0.000763834444353067	-2.13778898442244
Dnah2	-1.56235939684844	-2.28908772059439	-3.40831524772788	0.00370182462896359	0.00572553306616182	-2.13834874626119
Magi1	-0.230706350602908	4.2211028153916	-4.26124762743231	0.000627358381921216	0.00108250210620366	-2.13881862547452
Prox2	-0.486606986530859	1.27519164857394	-3.86494550193583	0.0014265581322251	0.00233992351982385	-2.14072725970538
Zfp707	0.318792090805359	3.9810908502871	4.2325492167249	0.000665588401658193	0.00114439287554203	-2.14737299695124
Slc39a9	-0.238437663217145	5.83435938446117	-4.38597100616118	0.000485501580849456	0.000852119130060444	-2.15160809802303
Nfat5	-1.01546143123025	7.60560620284219	-5.74353514785513	0.000886874413447965	0.0014958409320576	-2.15471325923162
Tpst1	-0.156627407875971	5.91332965660801	-4.38592879052419	0.000485543601806544	0.000852119130060444	-2.1564192754089
Kbtbd7	-0.422315991689772	2.72567419779256	-4.06599631289648	0.000939270640328227	0.00157871990240297	-2.15759526807523
Gm15694	0.636190195502909	0.176008197851472	3.68179649423159	0.00209042817826776	0.00334326214525558	-2.15849827780897
Hist1h2be	-1.43459730057048	-1.70984135201395	-3.43686659371911	0.00348748562863495	0.0054172532949256	-2.15989508100687
Fam214b	-0.236537437274345	3.6715768473944	-4.19846642296142	0.000714084733842976	0.00122181528938575	-2.16035272040966
Pigh	0.305049498094773	2.44070066296538	4.01993540627782	0.00103345730056267	0.00172841052198288	-2.16085361823051
Zeb2os	1.14931540653429	-1.89895204560493	3.43458249413443	0.00350416783948326	0.00544153121238402	-2.16192103953029
Tssk4	-0.716090537780196	0.0796385068641982	-3.67328927575056	0.00212790556426609	0.00339934393582716	-2.16498074025588
Pcdhgb2	0.727833005966792	-0.368757387436496	3.60904759674661	0.00243356404288294	0.00385940658754201	-2.16613578082242
Pds5b	-0.490200947248895	6.95361741887351	-5.17601144148589	0.00071863230666551	0.00122884832799343	-2.169383141013
Endog	0.552497529523096	1.53326748113512	3.88521249860759	0.00136759044872184	0.00224748040359576	-2.17414367951234
Gm38399	-0.693363621504217	2.041419255026	-4.10572516279491	0.00134964815978363	0.00221964089657066	-2.17665300928294
Hmces	-0.22398302656436	5.20611767373498	-4.32988865094068	0.000544729905212258	0.000949648863420628	-2.17767883595867
Dennd3	-0.401383897615025	2.15047424510185	-3.97840567841788	0.00112656218874914	0.00187261226936788	-2.18064420590771
Col20a1	-0.874188889917788	-0.994190743218951	-3.54540771578689	0.00277973582155336	0.00437484658325667	-2.18256089176207
B3gnt8	0.948845229890199	-1.3603539950153	3.50544873381546	0.00302184889478452	0.00472949241132656	-2.18570719732895
Rab7b	-0.332769432757904	3.07563724062318	-4.11381733513121	0.00085066946393066	0.00143806076280091	-2.18660346540958
Pigb	-0.272798485202105	3.7049211103355	-4.17587702564884	0.000748192621483226	0.00127651259559252	-2.18937499186948
Elmo3	-0.503105744148865	2.4031126068294	-4.01242279278886	0.0011080003988215	0.00184373454067229	-2.19317006964089
Mrpl35	0.198614038875581	5.54733109178583	4.34657080107878	0.000526379971149829	0.000919415883376932	-2.19609335281119
Trmu	0.321401703317246	3.54021111283009	4.157888620483	0.000776534440472996	0.00132065360478337	-2.19666898045057
Sprtn	0.180937268262547	5.29603812244567	4.32886645304885	0.000545875273146331	0.000951538653403795	-2.19686576865879
Myo10	0.176943197967262	7.15865202023258	4.41151465629632	0.000460743909130089	0.000811904068054579	-2.19713872145308
Gm17936	-1.02955434014708	-1.03206703749781	-3.48812301229684	0.00313327026364343	0.00489399899056393	-2.19997706180264
Zfp961	-0.177211099327834	5.31244405239597	-4.32735541004175	0.000547572886939678	0.0009541760599813	-2.20073913570791
Rras2	0.162666198774769	7.83764086253668	4.42658966971247	0.000446741139874056	0.000788303920804163	-2.20138635281603
AA986860	-0.49891560139018	0.989678592550093	-3.79351200957275	0.00165562220838809	0.00269286066556262	-2.20148996661178
Phlda1	-0.224525382076741	5.6106945480515	-4.34831233113967	0.000524501016999531	0.000916237160145515	-2.2015817549335
Cort	-0.917671394981089	-1.50092457398666	-3.45949047842225	0.00332646573024547	0.00518010685668975	-2.20210357178449
Trmt11	-0.23316490409074	4.67557682443998	-4.27270586380834	0.000612725716079758	0.00105913919064194	-2.20616685872951
Snrpd2	-0.222030112064639	6.54750119989687	-4.38845290627279	0.000483037635428671	0.000848585545779133	-2.20629996506831
Riox1	-0.218919352654591	4.49198064623122	-4.25111566818475	0.000640593480525384	0.0011038652186362	-2.2071795825526
Ttll5	-0.241352936332988	4.8901786226501	-4.29136257070645	0.000589639677510596	0.00102185320509128	-2.21115678851736
Ubtd2	0.299740905513845	4.42438456198516	4.25595067325313	0.000650130200227932	0.00111942804962631	-2.21237964479853
Nudt15	-1.02524811675052	-1.13797723979108	-3.50669853311527	0.00301396620437528	0.00471810760460806	-2.21400797151751
Pdcd2l	-0.273978410509766	4.0003724142635	-4.1957706966844	0.000718070554143985	0.00122809309397935	-2.21413868615955
Bloc1s4	0.240582053315472	3.90372594177943	4.18552941009623	0.000733420295068874	0.00125254939599483	-2.21699423441163
Atp5l	-0.308569750973123	2.755666826288	-4.03934183264286	0.000992660085177605	0.00166340824949742	-2.21814680615185
Gm43080	-1.14630223992131	-0.86556724148328	-3.53308261710159	0.0028709471293465	0.00450787536804134	-2.22360604917683
