genes	logFC	AveExpr	t	P.Value	adj.P.Val	B
Col1a2	-5.7190318604434	9.16256956439029	-142.111434881813	1.6820496145818e-25	2.10367892242833e-21	48.5116265893389
Spp1	-4.58538852783448	8.09460094246711	-137.5285571864	2.79002509605879e-25	2.10367892242833e-21	47.9819093665738
Igfbp4	5.72486558000603	6.62059825762598	110.877806214261	7.75245254142875e-24	3.89689947749152e-20	44.5896553222513
Ezr	2.99915081146158	9.08652519253873	97.6584776952127	5.49621592667761e-23	1.89981574513551e-19	43.1329938836166
Epb41l1	-3.47011496914936	8.35183973681581	-96.7990301260811	6.2991238233936e-23	1.89981574513551e-19	42.9843868322165
Angptl2	-3.53612600000608	5.78672356665408	-88.1915135972283	2.64870973874472e-22	5.7060775514672e-19	41.4369533322783
Ank	-6.46431556700396	5.28911330130553	-90.8540448839402	1.67430797799824e-22	4.2080940513689e-19	41.0564802736367
Tmem151a	4.21903217003054	5.90463584526205	81.2491324687603	9.37613664864036e-22	1.76740175826871e-18	40.2013849062917
Akap12	3.38922671032497	6.35091809686606	80.3947727741518	1.10354735131925e-21	1.8490548953216e-18	40.1256929121637
Lbh	2.72930163151076	6.74936949661219	78.4686433043595	1.60368563949099e-21	2.19850722213856e-18	39.7846608517636
Ptx3	3.95882733771873	5.38629798317887	77.0462870810581	2.12597058955703e-21	2.46612588388615e-18	39.3377253193215
Cxcl12	6.15786593931878	4.9252381132024	77.0698018166234	2.11599604081958e-21	2.46612588388615e-18	38.8059843260301
Aqp5	-5.18866605636826	4.61049660285966	-74.6097795476925	3.48832543999442e-21	3.7574248310797e-18	38.50329005277
Krt19	5.45675616005614	5.80448221602845	73.9162383066841	5.42104827482091e-21	5.10933799901871e-18	38.4406101602494
Tnfaip2	-4.32809760715374	5.03826465555881	-71.8019901700755	6.29922512630964e-21	5.58778322969113e-18	38.2367644959654
Gata6	3.90913701560088	4.90338996796833	71.2790439256599	7.05005343718379e-21	5.90637810181842e-18	38.1497988904959
Myrf	9.00407911608598	5.2076961660196	79.6028142855455	1.28546765512311e-21	1.93848522392564e-18	38.0505933237876
Cavin2	-2.39296659734931	7.35387868843031	-69.9997005460609	9.31869693276432e-21	7.39610261821505e-18	38.0296916979658
Src	-2.31297546925681	7.7698662121449	-68.3243441844858	1.35330446824584e-20	8.91130973404942e-18	37.6484720533736
Jag1	3.63070881925054	4.71375970674707	68.7231992992399	1.23726560587574e-20	8.88474539838389e-18	37.6170951517926
Rbl1	-2.78423743590013	7.10592918868593	-67.7726274441729	1.53328530351577e-20	8.91130973404942e-18	37.531193796975
2900097C17Rik	-2.40817004731938	7.38069858325597	-67.7469827654594	1.54224797740404e-20	8.91130973404942e-18	37.5209749008706
Ccnd2	4.41550331269004	6.52881744698607	71.4704625855137	1.72454374599883e-20	9.04602579242622e-18	37.4314724594006
Loxl4	-4.02171757458156	5.15427552310102	-67.5977404936961	1.5955262786428e-20	8.91130973404942e-18	37.4151035734506
Rprd1b	-2.43162584747995	7.00704424526424	-67.219266326325	1.73962034469735e-20	9.04602579242622e-18	37.403501627002
Tmem98	3.74078960805657	5.6542570469126	67.0179149072316	1.82186991583718e-20	9.04722993358718e-18	37.3442368028194
Fgfr1	-3.03305735523724	6.01050632157478	-66.9281997483411	1.85984169722283e-20	9.04722993358718e-18	37.3426313455465
Gpc1	-3.24352913215861	7.16271012075569	-66.5176419457335	2.04468090060849e-20	9.63555874411751e-18	37.2415589512712
Ppl	6.36107193133299	4.61477011894841	67.877093661779	1.49734387046378e-20	8.91130973404942e-18	36.8935244750274
