	log2FC	t.value
Ano1	-1.67054612555289	-23.4839514191819
Ano10	-0.291631081170212	-6.18310266823419
Ano6	0.484286007989653	8.95874377730038
Ano8	-1.21615985101345	-27.4569504085395
Cftr	5.6266220960659	20.6025297160541
Clca1	-0.290776833126702	-0.808186161772076
Clcc1	-0.922381233459769	-24.0129716870205
Clcn1	1.50428593589041	7.64990149040328
Clcn2	0.00301076699551039	0.0646969010484796
Clcn3	0.459612608440299	8.82741110029984
Clcn4	0.268348280577574	4.5001842627724
Clcn5	0.530556881849535	4.81128229885462
Clcn6	-0.12723672320308	-2.59359404967116
Clcn7	0.315597935348003	7.79531400790872
Clic1	-0.628715976952336	-15.9185267720044
Clic3	0.617932771051418	2.29696486426307
Clic4	0.29565144900149	7.19680111380939
Clic5	8.44300247653227	20.5122194283675
Clns1a	-0.146849353523566	-3.72066082253142
Fxyd3	5.87164720659767	15.4227212539322
Gabra1	8.94523192256756	21.4604429368912
Gabrb1	0.935061944192492	3.08769727462802
Gabre	2.24501987898237	25.4362795157418
Gabrq	6.09209834921387	15.5656876467174
Glrb	-0.49988115763096	-4.8773790832196
Pcyox1	-0.0749650181721275	-1.97390313394671
Slc12a2	-0.683347167515902	-9.17051306738024
Slc12a4	-0.363713315632112	-9.17197422661692
Slc12a5	0.608396496484376	2.12942480896238
Slc12a6	-0.416824843756571	-5.52934211397653
Slc12a7	0.223767963461106	5.47134137880844
Slc12a9	0.13591864602154	2.34389736727286
Slc17a7	-1.55085910271454	-7.60144391546205
Slc1a4	0.0108004917857718	0.239621995336009
Slc26a1	0.671237118814326	1.32720478337504
Slc26a10	-0.0528261299523111	-0.199847002603158
Slc26a11	-0.379573509328426	-5.4740268211511
Slc26a2	-0.0704930660303233	-0.918973107524664
Slc26a6	-0.541255725544261	-6.86274646049138
Slc4a2	0.516434874793894	14.6090894438381
Slc4a3	0.871017899227588	13.7207921540314
Tspo	-0.820401930973423	-17.3642572909997
Ttyh1	0.175707897880268	0.715380393342968
Ttyh2	0.45741102193799	10.3122702476965
Ttyh3	-0.733390501175513	-16.2918550970887
Wnk4	-0.605938709490365	-6.31859519055478
